eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.00049892,0.0001,0.00049883,0.00069743,0.00013867,0.13866841,2.44091669
0.00049731,0.0001,0.00049722,8.491e-05,0.00013672,0.13715324,2.44116129
0.00049481,0.0001,0.00049472,0.00065613,0.00013424,0.13534622,2.44144946
0.00049289,0.0001,0.0004928,0.00053032,0.00013244,0.1340542,2.44165315
0.00049223,0.0001,0.00049214,0.00030368,0.00013101,0.13277455,2.44185296
0.00049056,0.0001,0.00049048,0.00040084,0.0001293,0.13148939,2.44205168
0.00048857,0.0001,0.00048848,0.00016688,0.00012756,0.13024199,2.44224271
0.0004862,0.0001,0.00048611,0.00055633,0.00012573,0.12900481,2.44243037
0.0004836,0.0001,0.00048352,0.00032906,0.00012346,0.12735346,2.44267805
0.00048155,0.0001,0.00048147,0.00048133,0.00012131,0.12566017,2.4429287
0.00047829,0.0001,0.00047821,0.00029628,0.00011825,0.12332723,2.44326853
0.00047472,0.0001,0.00047464,0.00024394,0.0001151,0.12093727,2.44361004
0.00046856,0.0001,0.00046848,0.0003262,0.00011085,0.11799777,2.44402092
0.00046317,0.0001,0.00046309,0.00017997,0.00010713,0.11536136,2.44438082
0.00045764,0.0001,0.00045756,0.00010829,0.00010357,0.11287849,2.44471234
0.00045043,0.0001,0.00045035,3.823e-05,9.963e-05,0.11032028,2.44504639
0.0004437,0.0001,0.00044362,5.496e-05,9.628e-05,0.10823021,2.44531363
0.00043677,0.0001,0.00043669,0.0003068,9.298e-05,0.10617988,2.44557084
0.00043004,0.0001,0.00042997,7.867e-05,8.938e-05,0.10365262,2.44588114
0.00042336,0.0001,0.00042328,3.609e-05,8.582e-05,0.10109303,2.44618781
0.00041481,0.0001,0.00041474,0.0001659,8.201e-05,0.09859677,2.44647954
0.00040603,0.0001,0.00040596,7.865e-05,7.804e-05,0.09585382,2.44679174
0.00039709,0.0001,0.00039703,6.035e-05,7.402e-05,0.09296373,2.44711121
0.00038813,0.0001,0.00038806,6.22e-06,7.033e-05,0.09036692,2.44738998
0.00037962,0.0001,0.00037956,4.836e-05,6.705e-05,0.08807418,2.44762958
0.00037143,0.0001,0.00037137,3.63e-06,6.398e-05,0.08590064,2.44785109
0.00036343,0.0001,0.00036337,2.568e-05,6.107e-05,0.08379352,2.44806058
0.00035669,0.0001,0.00035663,5.91e-06,5.87e-05,0.0820589,2.44822917
0.00035009,0.0001,0.00035003,1.828e-05,5.642e-05,0.08036054,2.44839085
0.00034211,0.0001,0.00034205,1.034e-05,5.374e-05,0.07833481,2.44857931
0.00033338,0.0001,0.00033332,2.139e-05,5.09e-05,0.07612879,2.44877911
0.00032247,0.0001,0.00032242,2.666e-05,4.746e-05,0.07339262,2.44901909
0.00031275,0.0001,0.0003127,2.074e-05,4.449e-05,0.07093217,2.44922746
0.00030331,0.0001,0.00030326,1.349e-05,4.17e-05,0.06855501,2.4494221
0.00029399,0.0001,0.00029394,3.72e-06,3.906e-05,0.06625041,2.44960453
0.00028534,0.0001,0.00028529,1.266e-05,3.672e-05,0.06416204,2.44976452
0.00027183,0.0001,0.00027178,1.742e-05,3.323e-05,0.06094697,2.45000092
0.00025696,0.0001,0.00025692,4.15e-06,2.959e-05,0.05741941,2.45024649
0.00024129,0.0001,0.00024125,2.87e-06,2.603e-05,0.05378603,2.4504843
0.00022451,0.0001,0.00022447,3.27e-06,2.252e-05,0.05001775,2.45071473
0.00020227,0.0001,0.00020224,4.64e-06,1.831e-05,0.0451467,2.45098811
0.00018128,0.0001,0.00018125,1.65e-06,1.477e-05,0.04063227,2.45121681
0.00016314,0.0001,0.00016311,5.03e-06,1.202e-05,0.03674617,2.45139465
0.00014832,0.0001,0.0001483,2.71e-06,9.98e-06,0.03354537,2.45152789
0.00013501,0.0001,0.00013498,2.2e-06,8.3e-06,0.03064228,2.45163838
0.00012412,0.0001,0.0001241,3.83e-06,7.04e-06,0.02826754,2.45172143
0.00011418,0.0001,0.00011416,1.57e-06,5.97e-06,0.02607921,2.45179211
0.00010439,0.0001,0.00010437,1.89e-06,5.01e-06,0.02392933,2.45185608
9.148e-05,0.0001,9.146e-05,2.97e-06,3.88e-06,0.0211651,2.45193035
7.844e-05,0.0001,7.842e-05,1.92e-06,2.9e-06,0.0184232,2.45199513
6.502e-05,0.0001,6.501e-05,2.67e-06,2.04e-06,0.01563164,2.45205199
5.449e-05,0.0001,5.448e-05,2.62e-06,1.47e-06,0.01341989,2.45209049
4.545e-05,0.0001,4.545e-05,2.51e-06,1.04e-06,0.01145958,2.45211977
3.79e-05,0.0001,3.79e-05,2.43e-06,7.4e-07,0.00978436,2.45214118
3.068e-05,0.0001,3.068e-05,3.54e-06,5e-07,0.00815851,2.45215877
2.193e-05,0.0001,2.192e-05,2.6e-06,2.7e-07,0.0062163,2.45217563
1.337e-05,0.0001,1.337e-05,2.92e-06,1.2e-07,0.00437231,2.45218747
7.5e-06,0.0001,7.5e-06,3.08e-06,5e-08,0.00302169,2.45219354
4.27e-06,0.0001,4.27e-06,2.05e-06,2e-08,0.00207337,2.45219649
2.01e-06,0.0001,2.01e-06,1.56e-06,1e-08,0.00124853,2.45219817
8.6e-07,0.0001,8.6e-07,2.39e-06,0.0,0.00074992,2.45219878
