eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.00015756,0.010000000000000009,0.00015491,0.00149475,8.358e-05,0.26514871,2.41063588
0.00017069,0.010000000000000009,0.00016782,0.00137976,8.904e-05,0.26072451,2.41203012
0.00018251,0.010000000000000009,0.00017943,0.00113483,9.362e-05,0.25636191,2.41338039
0.00019172,0.010000000000000009,0.00018848,0.00085408,9.67e-05,0.25206819,2.41468552
0.00019799,0.010000000000000009,0.00019464,0.0010799,9.819e-05,0.24785035,2.41594454
0.00020643,0.010000000000000009,0.00020293,0.0008579,0.00010066,0.24368951,2.41716457
0.00021252,0.010000000000000009,0.00020892,0.00063189,0.00010189,0.2395965,2.41834328
0.00021626,0.010000000000000009,0.0002126,0.00011276,0.00010194,0.23556632,2.41948328
0.00021474,0.010000000000000009,0.0002111,0.00061829,9.953e-05,0.23160328,2.42058434
0.00021828,0.010000000000000009,0.00021457,0.00094387,9.946e-05,0.22770254,2.4216489
0.00022501,0.010000000000000009,0.00022119,0.00253824,0.0001008,0.22386113,2.42267874
0.00024758,0.010000000000000009,0.00024337,0.0028048,0.00010905,0.22008293,2.42367371
0.0002725,0.010000000000000009,0.00026787,0.00321459,0.00011801,0.21636653,2.42463511
0.00030119,0.010000000000000009,0.00029606,0.00410728,0.00012824,0.21271062,2.42556421
0.00033842,0.010000000000000009,0.00033265,0.00294353,0.00014167,0.20911295,2.4264624
0.0003635,0.010000000000000009,0.00035731,0.00178064,0.00014962,0.20557786,2.42732944
0.00037661,0.010000000000000009,0.00037018,0.00320767,0.0001524,0.2020976,2.42816809
0.00040378,0.010000000000000009,0.00039689,0.00357406,0.00016064,0.1986785,2.42897753
0.00043424,0.010000000000000009,0.00042682,0.00234332,0.00016985,0.19530825,2.4297615
0.00045195,0.010000000000000009,0.00044423,0.00232471,0.00017379,0.19199551,2.43051859
0.00046921,0.010000000000000009,0.00046119,0.0017537,0.00017738,0.18873831,2.43124999
0.0004805,0.010000000000000009,0.00047228,0.00309202,0.00017858,0.18553181,2.43195747
0.00050498,0.010000000000000009,0.00049634,0.00237092,0.00018451,0.18237849,2.43264105
0.0005219,0.010000000000000009,0.00051296,0.00159356,0.00018746,0.17928024,2.43330099
0.00053077,0.010000000000000009,0.00052168,0.00081997,0.00018742,0.17622975,2.4339395
